Dataset,Instance,TotalBenefit
gap1,1,318
gap1,2,300
gap1,3,320
gap1,4,320
gap1,5,315
gap2,1,412
gap2,2,387
gap2,3,406
gap2,4,392
gap2,5,417
gap3,1,568
gap3,2,552
gap3,3,561
gap3,4,546
gap3,5,542
gap4,1,627
gap4,2,601
gap4,3,628
gap4,4,620
gap4,5,625
gap5,1,540
gap5,2,509
gap5,3,535
gap5,4,531
gap5,5,519
gap6,1,700
gap6,2,683
gap6,3,681
gap6,4,662
gap6,5,656
gap7,1,832
gap7,2,854
gap7,3,881
gap7,4,821
gap7,5,815
gap8,1,968
gap8,2,962
gap8,3,998
gap8,4,952
gap8,5,986
gap9,1,589
gap9,2,614
gap9,3,645
gap9,4,658
gap9,5,608
gap10,1,814
gap10,2,803
gap10,3,815
gap10,4,796
gap10,5,790
gap11,1,880
gap11,2,869
gap11,3,936
gap11,4,890
gap11,5,931
gap12,1,1274
gap12,2,1197
gap12,3,1209
gap12,4,1229
gap12,5,1252
